old_file path,new_file path,commit SHA,parent commit SHA,commit message,diff_myers,old_file_MCC,new_file_MCC
flask/blueprints.py,flask/blueprints.py,b89bf9e6d7555743903ed3820156c3da7a571411,f7f1d9de3daa84ba968fd53553dc8fdb277219a3,'document Blueprint params',"'@@ -87,6 +87,24 @@ class Blueprint(_PackageBoundObject):\n     information.\n \n     .. versionadded:: 0.7\n+\n+    :param name: the name of the Blueprint\n+    :param import_name: the name of the Blueprint package, __name__ most of the time.\n+            The module folder will be the blueprint resource folder by default.\n+    :param static_folder: you can serve your Blueprint static files by setting `static_folder`\n+            to the folder with static files to serve at `static_url`.\n+            The path can be absolute or relative to the Blueprint resource folder\n+    :param static_url: the url to serve static files from. Defaults to ``static_folder``.\n+            If your app\'s static_url is the same, your Blueprint\'s files won\'t be accessible.\n+    :param template_folder: your blueprint can expose template from this folder by adding this path\n+            to the search path of templates. The path can be absolute or relative to\n+            the Blueprint resource folder.\n+    :param url_prefix: url to prefix all the Blueprint routes.\n+    :param subdomain: If set up, Blueprint routes will match on this subdomain.\n+    :param url_defaults: Blueprint routes will use these default values for\n+            view arguments.\n+    :param root_path: you can specify a different root_path than the module folder.\n+            to become your Blueprint resource folder.\n     """"""\n \n     warn_on_modifications = False\n'",1.4090909090909092,1.4090909090909092
flask/blueprints.py,flask/blueprints.py,571b9f54e745849087f43b63a9788ded9edd0eb7,b89bf9e6d7555743903ed3820156c3da7a571411,'reword Blueprint class docstring',"'@@ -80,31 +80,51 @@ class BlueprintSetupState(object):\n \n \n class Blueprint(_PackageBoundObject):\n-    """"""Represents a blueprint.  A blueprint is an object that records\n-    functions that will be called with the\n-    :class:`~flask.blueprints.BlueprintSetupState` later to register functions\n-    or other things on the main application.  See :ref:`blueprints` for more\n-    information.\n+    """"""Represents a blueprint, a collection of routes and other\n+    app-related functions that can be registered on a real application\n+    later.\n+\n+    A blueprint is an object that allows defining application functions\n+    without requiring an application object ahead of time. It uses the\n+    same decorators as :class:`~flask.Flask`, but defers the need for an\n+    application by recording them for later registration.\n+\n+    Decorating a function with a blueprint creates a deferred function\n+    that is called with :class:`~flask.blueprints.BlueprintSetupState`\n+    when the blueprint is registered on an application.\n+\n+    See :ref:`blueprints` for more information.\n \n     .. versionadded:: 0.7\n \n-    :param name: the name of the Blueprint\n-    :param import_name: the name of the Blueprint package, __name__ most of the time.\n-            The module folder will be the blueprint resource folder by default.\n-    :param static_folder: you can serve your Blueprint static files by setting `static_folder`\n-            to the folder with static files to serve at `static_url`.\n-            The path can be absolute or relative to the Blueprint resource folder\n-    :param static_url: the url to serve static files from. Defaults to ``static_folder``.\n-            If your app\'s static_url is the same, your Blueprint\'s files won\'t be accessible.\n-    :param template_folder: your blueprint can expose template from this folder by adding this path\n-            to the search path of templates. The path can be absolute or relative to\n-            the Blueprint resource folder.\n-    :param url_prefix: url to prefix all the Blueprint routes.\n-    :param subdomain: If set up, Blueprint routes will match on this subdomain.\n-    :param url_defaults: Blueprint routes will use these default values for\n-            view arguments.\n-    :param root_path: you can specify a different root_path than the module folder.\n-            to become your Blueprint resource folder.\n+    :param name: The name of the blueprint. Will be prepended to each\n+        endpoint name.\n+    :param import_name: The name of the blueprint package, usually\n+        ``__name__``. This helps locate the ``root_path`` for the\n+        blueprint.\n+    :param static_folder: A folder with static files that should be\n+        served by the blueprint\'s static route. The path is relative to\n+        the blueprint\'s root path. Blueprint static files are disabled\n+        by default.\n+    :param static_url_path: The url to serve static files from.\n+        Defaults to ``static_folder``. If the blueprint does not have\n+        a ``url_prefix``, the app\'s static route will take precedence,\n+        and the blueprint\'s static files won\'t be accessible.\n+    :param template_folder: A folder with templates that should be added\n+        to the app\'s template search path. The path is relative to the\n+        blueprint\'s root path. Blueprint templates are disabled by\n+        default. Blueprint templates have a lower precedence than those\n+        in the app\'s templates folder.\n+    :param url_prefix: A path to prepend to all of the blueprint\'s URLs,\n+        to make them distinct from the rest of the app\'s routes.\n+    :param subdomain: A subdomain that blueprint routes will match on by\n+        default.\n+    :param url_defaults: A dict of default values that blueprint routes\n+        will receive by default.\n+    :param root_path: By default, the blueprint will automatically this\n+        based on ``import_name``. In certain situations this automatic\n+        detection can fail, so the path can be specified manually\n+        instead.\n     """"""\n \n     warn_on_modifications = False\n'",1.4090909090909092,1.4090909090909092
flask/app.py,flask/app.py,d8d74b0cc89f7b9242cb5419ac1193463749f218,53f5fd234b8a7377c401ae88e2fb6c29812715d5,'document _get_exc_class_and_code params',"'@@ -1270,7 +1270,11 @@ class Flask(_PackageBoundObject):\n \n     @staticmethod\n     def _get_exc_class_and_code(exc_class_or_code):\n-        """"""Ensure that we register only exceptions as handler keys""""""\n+        """"""Ensure that we register only exceptions as handler keys\n+\n+        :param exc_class_or_code: the class for the exception, or\n+                                  exception code as integer\n+        """"""\n         if isinstance(exc_class_or_code, integer_types):\n             exc_class = default_exceptions[exc_class_or_code]\n         else:\n'",2.623529411764706,2.623529411764706
flask/app.py,flask/app.py,6ec98f07499a6e6b61a43f265c818100aa41e205,d8d74b0cc89f7b9242cb5419ac1193463749f218,'reword _get_exc_class_and_code docstring',"'@@ -1270,10 +1270,12 @@ class Flask(_PackageBoundObject):\n \n     @staticmethod\n     def _get_exc_class_and_code(exc_class_or_code):\n-        """"""Ensure that we register only exceptions as handler keys\n+        """"""Get the exception class being handled. For HTTP status codes\n+        or ``HTTPException`` subclasses, return both the exception and\n+        status code.\n \n-        :param exc_class_or_code: the class for the exception, or\n-                                  exception code as integer\n+        :param exc_class_or_code: Any exception class, or an HTTP status\n+            code as an integer.\n         """"""\n         if isinstance(exc_class_or_code, integer_types):\n             exc_class = default_exceptions[exc_class_or_code]\n'",2.623529411764706,2.623529411764706
src/flask/ctx.py,src/flask/ctx.py,1ff98a2d21f6800b7b97195e0f9c90776ffb8f9b,29111a32594806cc217aba047de609dc913ef255,"'wait until app ctx is ready before matching url\n\n`RequestContext.match_request` is moved from `__init__` to `push`. This\ncauses matching to happen later, when the app context is available.\nThis enables URL converters that use things such as the database.'","'@@ -314,9 +314,6 @@ class RequestContext(object):\n         # functions.\n         self._after_request_functions = []\n \n-        if self.url_adapter is not None:\n-            self.match_request()\n-\n     @property\n     def g(self):\n         return _app_ctx_stack.top.g\n@@ -384,6 +381,9 @@ class RequestContext(object):\n \n         _request_ctx_stack.push(self)\n \n+        if self.url_adapter is not None:\n+            self.match_request()\n+\n         # Open the session at the moment that the request context is available.\n         # This allows a custom open_session method to use the request context.\n         # Only open a new session if this is the first time the request was\n'",2.185185185185185,2.185185185185185
tests/test_basic.py,tests/test_basic.py,1ff98a2d21f6800b7b97195e0f9c90776ffb8f9b,29111a32594806cc217aba047de609dc913ef255,"'wait until app ctx is ready before matching url\n\n`RequestContext.match_request` is moved from `__init__` to `push`. This\ncauses matching to happen later, when the app context is available.\nThis enables URL converters that use things such as the database.'","'@@ -1384,26 +1384,6 @@ def test_url_for_passes_special_values_to_build_error_handler(app):\n         flask.url_for(""/"")\n \n \n-def test_custom_converters(app, client):\n-    from werkzeug.routing import BaseConverter\n-\n-    class ListConverter(BaseConverter):\n-        def to_python(self, value):\n-            return value.split("","")\n-\n-        def to_url(self, value):\n-            base_to_url = super(ListConverter, self).to_url\n-            return "","".join(base_to_url(x) for x in value)\n-\n-    app.url_map.converters[""list""] = ListConverter\n-\n-    @app.route(""/<list:args>"")\n-    def index(args):\n-        return ""|"".join(args)\n-\n-    assert client.get(""/1,2,3"").data == b""1|2|3""\n-\n-\n def test_static_files(app, client):\n     rv = client.get(""/static/index.html"")\n     assert rv.status_code == 200\n'",1.0766283524904214,1.0739299610894941
CHANGES.rst,CHANGES.rst,c65863912ba3c93d014378e21402c97babca272b,1ff98a2d21f6800b7b97195e0f9c90776ffb8f9b,'move url matching after opening session',"""@@ -71,6 +71,10 @@ Unreleased\n -   The ``flask run`` command no longer fails if Python is not built\n     with SSL support. Using the ``--cert`` option will show an\n     appropriate error message. :issue:`3211`\n+-   URL matching now occurs after the request context is pushed, rather\n+    than when it's created. This allows custom URL converters to access\n+    the app and request contexts, such as to query a database for an id.\n+    :issue:`3088`\n \n .. _#2935: https://github.com/pallets/flask/issues/2935\n .. _#2957: https://github.com/pallets/flask/issues/2957\n""",0,0
src/flask/ctx.py,src/flask/ctx.py,c65863912ba3c93d014378e21402c97babca272b,1ff98a2d21f6800b7b97195e0f9c90776ffb8f9b,'move url matching after opening session',"'@@ -347,8 +347,8 @@ class RequestContext(object):\n         of the request.\n         """"""\n         try:\n-            url_rule, self.request.view_args = self.url_adapter.match(return_rule=True)\n-            self.request.url_rule = url_rule\n+            result = self.url_adapter.match(return_rule=True)\n+            self.request.url_rule, self.request.view_args = result\n         except HTTPException as e:\n             self.request.routing_exception = e\n \n@@ -381,9 +381,6 @@ class RequestContext(object):\n \n         _request_ctx_stack.push(self)\n \n-        if self.url_adapter is not None:\n-            self.match_request()\n-\n         # Open the session at the moment that the request context is available.\n         # This allows a custom open_session method to use the request context.\n         # Only open a new session if this is the first time the request was\n@@ -395,6 +392,9 @@ class RequestContext(object):\n             if self.session is None:\n                 self.session = session_interface.make_null_session(self.app)\n \n+        if self.url_adapter is not None:\n+            self.match_request()\n+\n     def pop(self, exc=_sentinel):\n         """"""Pops the request context and unbinds it by doing that.  This will\n         also trigger the execution of functions registered by the\n'",2.185185185185185,2.185185185185185
tests/test_converters.py,tests/test_converters.py,c65863912ba3c93d014378e21402c97babca272b,1ff98a2d21f6800b7b97195e0f9c90776ffb8f9b,'move url matching after opening session',"'@@ -1,9 +1,10 @@\n-from flask.globals import _app_ctx_stack\n+from werkzeug.routing import BaseConverter\n \n+from flask import has_request_context\n+from flask import url_for\n \n-def test_custom_converters(app, client):\n-    from werkzeug.routing import BaseConverter\n \n+def test_custom_converters(app, client):\n     class ListConverter(BaseConverter):\n         def to_python(self, value):\n             return value.split("","")\n@@ -20,19 +21,20 @@ def test_custom_converters(app, client):\n \n     assert client.get(""/1,2,3"").data == b""1|2|3""\n \n+    with app.test_request_context():\n+        assert url_for(""index"", args=[4, 5, 6]) == ""/4,5,6""\n \n-def test_model_converters(app, client):\n-    from werkzeug.routing import BaseConverter\n \n-    class ModelConverterTester(BaseConverter):\n+def test_context_available(app, client):\n+    class ContextConverter(BaseConverter):\n         def to_python(self, value):\n-            assert _app_ctx_stack.top is not None\n+            assert has_request_context()\n             return value\n \n-    app.url_map.converters[""model""] = ModelConverterTester\n+    app.url_map.converters[""ctx""] = ContextConverter\n \n-    @app.route(""/<model:user_name>"")\n-    def index(user_name):\n-        return user_name, 200\n+    @app.route(""/<ctx:name>"")\n+    def index(name):\n+        return name\n \n-    client.get(""/admin"").data\n+    assert client.get(""/admin"").data == b""admin""\n'",1.1428571428571428,1.1428571428571428
tests/test_testing.py,tests/test_testing.py,c65863912ba3c93d014378e21402c97babca272b,1ff98a2d21f6800b7b97195e0f9c90776ffb8f9b,'move url matching after opening session',"'@@ -154,6 +154,9 @@ def test_blueprint_with_subdomain():\n     ctx = app.test_request_context(""/"", subdomain=""xxx"")\n     assert ctx.request.url == ""http://xxx.example.com:1234/foo/""\n \n+    with ctx:\n+        assert ctx.request.blueprint == bp.name\n+\n     rv = client.get(""/"", subdomain=""xxx"")\n     assert rv.data == b""http://xxx.example.com:1234/foo/""\n \n'",1.06,1.06
